PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),NOx (ppb),NH3 (µg/m³),hour,month,dayofweek
171.25,270.75,3.42,31.8,0.94,22.23,19.73,20.2,0,1,0
170.5,248.75,4.13,40.67,0.93,10.7,24.97,19.37,1,1,0
141.75,236.25,3.8,23.1,0.86,27.18,15.37,22.23,2,1,0
122.5,196.0,2.88,18.52,0.81,29.75,12.2,20.35,3,1,0
122.0,203.75,2.68,16.77,0.78,33.92,11.12,20.27,4,1,0
128.0,205.5,2.2,22.7,1.06,24.6,13.88,20.7,5,1,0
141.75,231.25,3.08,32.15,1.15,23.05,19.58,22.48,6,1,0
147.75,266.5,3.32,23.32,0.9,37.78,15.1,23.15,7,1,0
127.0,233.5,3.55,20.3,0.86,54.12,13.72,23.65,8,1,0
144.0,266.75,3.05,21.98,0.9,86.32,14.18,24.0,9,1,0
155.5,236.0,2.6,17.15,0.86,120.2,11.2,22.58,10,1,0
141.0,226.25,2.48,13.32,0.81,133.82,9.1,20.18,11,1,0
131.75,204.75,1.88,13.95,0.82,153.07,8.98,20.15,12,1,0
139.0,214.5,1.8,13.55,0.62,157.93,8.65,20.7,13,1,0
136.0,210.75,1.75,13.5,0.52,161.72,8.6,21.38,14,1,0
136.0,203.0,1.88,13.38,0.55,154.72,8.62,21.1,15,1,0
138.75,207.5,2.15,20.7,0.68,118.88,12.78,21.3,16,1,0
150.5,238.25,12.5,60.4,1.08,35.45,42.3,20.6,17,1,0
165.5,295.75,13.1,59.15,1.37,54.32,42.12,20.88,18,1,0
172.0,295.25,2.25,28.0,1.0,86.38,16.75,20.25,19,1,0
150.25,222.25,2.7,33.8,1.1,59.78,20.22,20.1,20,1,0
154.75,237.0,3.25,47.5,1.4,27.02,27.92,20.42,21,1,0
173.75,261.5,7.82,63.65,1.57,7.02,40.2,20.15,22,1,0
167.5,257.25,5.42,43.2,1.06,19.62,27.38,19.48,23,1,0
154.25,238.25,3.38,32.75,0.89,23.9,20.18,18.23,0,1,1
133.25,198.75,2.67,21.13,0.83,57.03,13.4,17.97,1,1,1
119.75,181.5,2.87,15.63,0.82,37.25,10.67,19.77,2,1,1
112.25,172.75,4.25,24.05,0.78,22.38,16.3,19.52,3,1,1
110.5,177.25,4.18,21.05,0.83,20.27,14.58,20.18,4,1,1
111.33,196.0,4.97,24.27,0.88,13.9,16.93,19.63,5,1,1
107.75,195.0,2.65,23.4,0.86,37.5,14.62,18.68,6,1,1
101.25,194.25,2.7,19.55,0.74,55.05,12.6,18.7,7,1,1
107.0,209.75,3.52,17.45,0.73,58.4,12.18,19.25,8,1,1
135.25,237.75,4.18,23.58,0.96,73.18,15.92,21.68,9,1,1
172.0,284.75,3.12,18.6,0.91,111.28,12.42,21.55,10,1,1
160.75,253.75,2.2,15.6,0.89,135.3,10.1,20.82,11,1,1
147.5,218.25,2.0,14.18,0.76,137.2,9.18,17.55,12,1,1
123.75,191.25,1.75,14.0,0.58,132.9,8.85,15.25,13,1,1
107.5,168.5,1.92,15.0,0.49,131.68,9.55,14.9,14,1,1
97.25,160.5,1.95,15.72,0.52,131.57,9.95,15.25,15,1,1
101.75,177.25,2.08,24.3,0.66,103.28,14.62,15.78,16,1,1
118.25,234.75,3.68,58.75,1.28,38.6,34.25,15.68,17,1,1
134.0,299.0,4.2,64.93,1.43,41.23,37.93,17.57,18,1,1
156.5,295.25,2.78,37.08,1.2,77.55,21.95,21.92,19,1,1
168.25,264.5,2.82,37.95,1.19,67.18,22.48,22.15,20,1,1
160.5,253.75,2.5,39.48,1.06,61.1,23.05,21.45,21,1,1
151.75,244.75,2.62,33.57,0.84,54.78,20.0,20.82,22,1,1
147.25,234.0,7.48,48.42,1.14,10.12,31.85,18.75,23,1,1
143.75,247.25,13.65,46.3,1.1,4.73,35.7,18.98,0,1,2
137.5,230.75,3.2,31.9,1.04,25.63,19.6,19.62,1,1,2
126.75,228.0,3.0,23.9,0.96,25.62,15.1,21.4,2,1,2
115.75,217.5,2.72,17.6,0.85,36.15,11.55,20.88,3,1,2
