Date,PM2.5,PM10,NO,NO2,NH3,SO2,CO,Ozone
02-01-2024 00:00,130.99,219.48,3.16,27.35,18.88,15.59,0.88,69.5
03-01-2024 00:00,112,209.55,4.49,31.41,18.53,12.28,0.96,65.19
04-01-2024 00:00,105.61,190.98,3.39,29.2,21.72,16.02,0.77,73.99
05-01-2024 00:00,110.1,188.61,2.74,26.8,20.48,19.03,0.81,81.52
06-01-2024 00:00,138.97,232.61,2.9,28.4,21.93,13.15,0.77,81.45
07-01-2024 00:00,135.54,212.69,2.72,25.77,20.31,13.87,0.97,77.9
08-01-2024 00:00,166,257.32,2.91,24.44,22.28,14.37,0.77,72.17
09-01-2024 00:00,139.92,235.67,3.15,27.93,20.39,14.98,1.03,73.79
10-01-2024 00:00,110.28,188.75,3.65,25.66,19.72,18.44,0.89,78.68
11-01-2024 00:00,105.16,173.66,4.38,25.56,19.43,15.02,1.16,71.38
12-01-2024 00:00,91.17,172.29,4.81,28.58,15.4,13.25,0.98,78.63
13-01-2024 00:00,86.28,151.05,2.59,27.93,17.48,13.98,0.69,103.34
14-01-2024 00:00,107.05,176.28,2.77,28.49,19.41,13.39,0.62,79.66
15-01-2024 00:00,86.02,136.05,2.41,21.06,19.95,7.54,0.77,88.72
16-01-2024 00:00,118.4,178.39,2.15,17.47,20.82,8.22,0.77,102.86
17-01-2024 00:00,123.17,191.77,2.25,17.73,18.21,6.98,0.76,77.45
18-01-2024 00:00,83.62,131.16,2.11,17.67,17.79,4.74,0.66,35.1
19-01-2024 00:00,78.89,120.47,2.16,14.04,18.26,3.29,0.29,60.84
20-01-2024 00:00,113.26,170.75,2.07,15.4,19.82,9.7,1.07,73.21
21-01-2024 00:00,118.64,166.27,2.01,16.33,20.63,9.61,2.98,86.17
22-01-2024 00:00,139.25,199.04,2.4,24,19.54,13.4,0.83,81.98
23-01-2024 00:00,112.16,174.16,2.56,23.09,19.27,12.41,3.56,87.94
24-01-2024 00:00,88.64,122.81,2.32,17.82,18.58,5.59,6.3,79.56
25-01-2024 00:00,67.79,101.56,2.92,22,16.79,17.79,4.66,61.84
26-01-2024 00:00,108.31,176.79,3.68,30.29,19.41,15.34,3.6,79.25
27-01-2024 00:00,113.48,192.03,3.02,33.04,19.41,21.21,4.32,83.86
28-01-2024 00:00,123.24,202.35,3.58,33.04,19.39,20.69,1.61,91.19
29-01-2024 00:00,104.17,173,3.29,28.02,17.74,15.59,0.54,93.47
30-01-2024 00:00,66.47,109.34,2.66,18.03,14.97,4.98,2.51,75.29
31-01-2024 00:00,38.44,78.35,2.04,13.29,13.04,3.84,0.55,70.78
01-02-2024 00:00,32.19,66.53,3.21,17.47,13.37,2.83,0.6,41.73
02-02-2024 00:00,32.42,75.52,4.46,18.12,14.68,4.56,0.5,34.81
03-02-2024 00:00,62.69,116.6,3.42,17.46,16.79,22.26,0.78,56.09
04-02-2024 00:00,68.12,120.33,2.37,14.36,15.13,19.45,0.67,67.71
05-02-2024 00:00,54.64,98.97,2.45,11.38,14.98,7.98,0.51,57.45
06-02-2024 00:00,54.33,96.1,2.01,9.55,14.57,6.15,0.5,61.95
07-02-2024 00:00,87.61,151.48,2.14,12.84,16.35,16.75,0.76,83.77
08-02-2024 00:00,75.47,150.22,2.23,19.35,11.74,14.76,0.57,80.95
09-02-2024 00:00,62.67,144.51,2.51,24.73,11.27,15.43,0.72,77.66
10-02-2024 00:00,76.74,164.2,2.59,25.47,15.46,15.45,0.75,99.8
11-02-2024 00:00,84.3,161.41,2.56,22.85,18.81,13.91,0.55,106.83
12-02-2024 00:00,76.9,148.89,2.36,20.34,17.75,9.76,0.82,107.75
13-02-2024 00:00,75.05,137.61,2.43,17.27,19.17,6.72,1.01,83.81
14-02-2024 00:00,59.86,103.01,1.97,13.14,16.26,4.5,1.61,84.03
15-02-2024 00:00,58.65,104.55,2.11,14.02,15.51,3.93,1.78,72.16
16-02-2024 00:00,73.21,130.51,2.19,14.86,16.17,7.53,1.58,85.99
17-02-2024 00:00,97.99,158.97,3.13,15.53,20.28,5.11,1.54,68.39
18-02-2024 00:00,60.88,104.37,2.19,11.41,18.87,2.94,1.47,51.22
19-02-2024 00:00,43.44,84.18,2.07,9.71,16.36,3.38,1.69,51.26
20-02-2024 00:00,42.99,85.73,2.29,10.44,15.08,4.01,1.56,64.14
21-02-2024 00:00,39.14,97.45,2.23,12.36,12.79,7.81,1.66,75.56
22-02-2024 00:00,32.76,93.21,1.92,7.64,13.38,6.52,1.47,70.72
23-02-2024 00:00,56.23,131.9,2.19,11.63,14.46,9.35,1.73,76.92
24-02-2024 00:00,54.41,132.04,2.31,13.71,12.72,10.04,1.77,75.45
25-02-2024 00:00,68.01,141.78,2.4,14.78,16.24,7.46,1.77,75.57
26-02-2024 00:00,55.75,126.83,2.51,16.4,17.24,10.09,1.77,82.13
