Date,PM2.5,PM10,NO,NO2,NH3,SO2,CO,Ozone
02-01-2024 00:00,209.98,312.71,14.61,24.43,48.36,2.91,0.92,8.85
03-01-2024 00:00,234.08,342.32,14.95,32.32,52.83,2.1,1.26,13.01
04-01-2024 00:00,234.11,345.63,28.85,25.35,46.18,7.29,1.33,9.3
05-01-2024 00:00,162.72,242.64,18.97,29.65,49.83,7.16,1.13,12.86
06-01-2024 00:00,178.95,262.11,17.05,40.32,52.9,6.86,1.15,20.56
07-01-2024 00:00,161.44,258.42,22.92,39.12,51.07,4.36,0.93,24.26
08-01-2024 00:00,266.55,450.02,50.73,54.35,52.38,9.39,1.78,13.57
09-01-2024 00:00,148.79,241.55,9.99,29.61,48.88,4.9,0.92,15.52
10-01-2024 00:00,171.64,273.89,22.6,30.31,53.25,4.7,1.08,15.39
11-01-2024 00:00,211.43,319.41,31.56,41.45,52.6,5.42,2.15,24.57
12-01-2024 00:00,223.15,316.2,48.06,46.76,53.32,5.33,2.29,24.58
13-01-2024 00:00,457.21,609.58,92.85,88.72,73.47,8.72,3.88,28.88
14-01-2024 00:00,441.54,605.83,108.63,57.88,66.16,4.78,3.95,24.88
15-01-2024 00:00,214.22,327.48,70.3,40.38,41.41,2.93,2.43,17.61
16-01-2024 00:00,270.1,358.23,44.21,24.69,37.68,2.09,2.16,16.25
17-01-2024 00:00,247.45,377.23,11.41,25.23,25.7,8.75,1.54,18.12
18-01-2024 00:00,174.76,265.46,16.91,17.99,19.49,6.17,1.44,11.44
19-01-2024 00:00,183.07,264.91,17.22,8.71,17.25,5.76,1.47,8.84
20-01-2024 00:00,202.08,316.88,10.57,12.69,15.45,5.95,1.23,14.91
21-01-2024 00:00,165.09,235.48,10.65,4.57,13.64,5.53,1.25,11.6
22-01-2024 00:00,213.57,338.39,8.8,10.89,12.74,5.76,1.16,16.69
23-01-2024 00:00,236.32,358.67,7.48,10.26,13.35,7.37,1.69,20.2
24-01-2024 00:00,301.91,450.73,15.62,9.71,13.68,6.84,2.3,10.7
25-01-2024 00:00,213.83,329.09,24.22,23.5,29.11,4.78,2.3,10.55
26-01-2024 00:00,307.46,496.45,53.17,19.41,37.12,4.01,3.81,19.21
27-01-2024 00:00,228.91,427.22,38.64,15.52,31.05,7.52,2.66,15.29
28-01-2024 00:00,283.41,431.44,41.93,14.69,28.4,7.22,2.34,8.31
29-01-2024 00:00,205.51,346.49,13.15,14.31,26.21,5.1,1.79,12.19
